best_tour, time
8145.584566,22651
8075.807283,22830
8103.276728,22575
8293.984091,22499
8096.286993,22531
7949.515987,22879
8077.202551,22840
8217.097906,22654
8123.731165,22725
8074.059103,22885
8029.779104,22664
8077.855543,22928
8147.309343,22655
8120.968801,22466
7987.985205,22517
8484.371023,22636
7984.016027,22483
8059.261400,22474
8108.293779,22880
8249.956381,22623
7909.291014,22576
7937.703260,22588
8313.316931,22562
8028.068907,22597
7961.823034,22559
8154.737574,22574
8136.976507,22559
8049.430109,22501
7980.830252,22617
8261.034616,22582
