best_tour, time
6849.015173,121058
6882.376601,120773
6848.634299,120638
6955.844758,120732
6916.540147,120799
6875.279798,121005
6806.706855,120600
6651.334624,120571
6819.946069,120944
6681.768193,121043
6731.119138,120880
6781.034938,120800
6831.183685,120817
6911.377900,120759
6867.009403,120847
6743.961433,120815
6886.763461,120786
6770.984542,120851
6862.025407,120673
6802.654647,120786
6972.892293,120773
6805.973377,120775
6750.529195,120844
6632.306783,120950
6855.502662,120796
6705.495675,120707
6866.228673,120858
6885.607961,121005
6690.984259,120734
6933.894862,121582
