best_tour, time
2189.000000,17572
2122.000000,18114
2276.000000,19583
2165.000000,19332
2129.000000,18177
2122.000000,18466
2177.000000,18365
2154.000000,17813
2053.000000,18216
2172.000000,18240
2104.000000,17909
2140.000000,17623
2138.000000,17807
2125.000000,17630
2153.000000,17583
2095.000000,17955
2174.000000,17691
2060.000000,17463
2136.000000,17633
2165.000000,17641
2092.000000,17661
2129.000000,17651
2192.000000,17690
2132.000000,17435
2151.000000,17528
2100.000000,18220
2140.000000,21047
2011.000000,18369
2159.000000,17728
2130.000000,17849
